Age at Enrollment,Admission Grade,1st semester grade,2nd semester grade,Tuition Fees Up to Date,Scholarship Holder
18,113.9,########,########,1,0
19,151.1,13.6,########,1,0
22,125.8,0,0,0,1
32,128.2,11.4,11.5,1,0
61,135.1,0,0,1,0
30,120.2,11,11.6,1,0
45,132.8,0,0,0,0
20,140,########,########,1,0
19,129.3,0,0,1,0
26,108.2,11.25,12,1,0
19,125.4,########,11,1,0
19,140.2,12,########,1,1
19,116.1,12.5,13,1,0
19,137.8,13.2,########,1,1
19,128.4,0,0,0,0
28,106,########,11.5,0,0
24,130.2,########,########,1,0
18,126,########,13.2,1,0
18,141,########,12.5,1,0
18,113,########,10.2,1,1
21,120,13.4,12.4,1,0
28,130.9,0,0,0,0
58,120,0,0,1,0
49,134.1,0,0,0,0
24,120,########,10.5,1,0
25,114.8,13.75,14.75,1,0
33,123,10,0,1,0
33,118,0,0,0,0
40,100,16,15.5,1,0
48,151.1,########,11.125,1,0
18,116.9,12,########,0,0
24,106,########,########,1,0
23,127.1,11.8,13.25,1,1
39,155.5,10.6,########,0,0
21,101,11.9,12.25,1,0
34,128.2,11.25,10.5,1,0
41,113,11,11.4,1,1
18,122.8,12,12.5,1,0
34,145.6,11.75,########,1,0
19,116.5,10,16,1,0
19,142,########,########,1,0
28,150,14.875,15.8,1,0
18,133.3,10.8,0,1,0
19,115.8,12,10,1,0
19,100,12.5,13.5,0,0
18,128.6,########,########,1,0
18,137.1,12,14.8,1,0
18,149,########,11,1,0
19,147,########,13.5,1,0
31,150,12.5,14.6,1,0
33,103.5,########,########,1,1
20,107.8,14.46,13.55,1,1
22,130,12.8,11.5,1,0
19,109.4,########,13.4,1,0
18,143.6,12.5,13,1,0
18,124.3,0,0,1,0
18,119.5,0,0,0,0
18,175.6,0,0,1,0
19,116.1,11.2,11,1,1
18,126.6,16.5,########,1,0
18,130.8,########,12,1,0
18,133.5,########,########,1,1
21,136.9,########,########,1,0
18,142.3,########,########,1,1
18,114.3,13.875,########,1,0
18,122.9,13.128,########,1,0
20,117.2,11.605,124.125,1,0
18,152,14.6,12,1,1
18,122.2,0,0,1,0
20,101.7,11.8,11.6,1,1
20,119.9,########,########,1,0
19,123.7,11,0,1,1
19,121.8,########,########,1,1
18,106.1,11,0,0,1
19,124.3,########,########,1,1
20,124.3,1.298.125,1.298.125,1,1
21,117.4,########,11.2,1,0
21,112.7,11.68,11.68,1,0
20,123.7,14.5,13.5,1,0
19,105.8,########,########,1,0
21,124.2,11.5,10.5,0,0
18,122.3,14.2,11.8,1,0
19,123.7,########,12.2,1,1
18,129.8,13.175,14.875,1,0
19,123.8,########,########,1,1
18,126.4,10.6,10.5,1,1
18,115.1,12,10.75,1,1
18,138.4,########,########,1,0
18,118.2,13.25,########,1,1
18,121.7,13,0,1,0
18,118,########,14,1,1
18,119.8,0,0,1,0
18,164.9,14,########,1,0
20,100,12,########,1,1
18,121.6,########,10.6,1,0
18,120.4,11.8,10.4,1,0
20,117.8,########,########,1,1
40,110,11.625,11.2,1,0
18,128.8,########,########,1,1
19,116.6,11.6,12.2,1,0
24,120,0,0,1,0
19,157.5,########,########,1,0
19,136.3,14.1,14.1,1,0
20,121.5,########,########,1,1
18,133.9,########,160.875,1,0
18,136.8,0,0,1,1
19,133.5,14.05,15.1,1,0
18,130,14.85,15.2,1,0
19,140,13,13,1,0
19,132.7,147.875,158.625,1,1
19,117.8,13.7,########,1,1
19,126.1,########,########,1,1
19,120,########,########,1,0
25,100,11.2,11.25,0,0
20,116.8,########,########,1,0
23,128.3,########,13.25,0,0
20,117,0,0,1,0
27,131.5,11,########,1,0
18,134.8,14.445,14.445,1,0
18,146.6,13.6,11.75,1,0
23,130,14,14.625,0,0
19,127.5,########,########,1,1
18,123,########,11.4,1,0
20,100,13.1,148.125,1,0
18,114.2,13.2,12.8,1,0
19,123.5,14.75,14.75,1,1
19,144.3,########,########,1,1
19,142.2,12.5,12.5,1,0
18,161.9,13.75,########,1,0
18,135.9,12.4,13,1,0
18,110.1,########,12,1,0
28,122.5,########,12,0,0
19,138.1,12.5,14,1,0
20,117.3,0,0,1,0
19,106.8,########,########,1,1
20,120.1,########,########,1,1
19,116.5,13.2,11,1,1
21,120,12.2,12.6,1,0
19,139.7,########,########,1,1
18,123.7,########,12.625,1,1
19,116.5,0,0,1,0
19,122.2,########,########,1,1
20,146,11,########,1,0
18,108.8,11.4,########,1,0
18,133,0,0,1,0
18,123.8,12,12,1,0
18,120,0,0,1,0
18,126.9,11,########,1,0
20,121.3,12,########,1,0
19,129,########,12.55,1,1
21,114.9,########,########,0,0
20,106.5,0,0,0,0
18,133.9,12.2,11.25,1,0
20,124.9,########,########,1,1
19,128.5,1.407.125,1.407.125,1,1
22,126.2,14.25,13.2,1,0
22,121.7,0,0,0,0
18,120,12,10.25,1,0
21,113.2,########,########,1,0
19,120.3,13,11.6,1,0
19,127.8,0,0,1,0
20,123.3,########,########,1,1
18,126.3,12.65,########,1,1
22,128.2,11,10.6,0,0
20,134.9,12.4,########,1,0
19,140,12,########,1,0
19,115.5,########,########,1,1
20,106.7,12.62,12.5,1,1
25,140,########,########,1,0
19,136.6,########,########,1,1
19,119.3,1.311.625,1.311.625,1,0
19,152,0,0,0,0
20,144.3,12.7,########,1,0
25,159,########,11.7,1,0
20,129.5,########,########,1,1
24,140,15.75,16.4,1,0
20,105.4,########,13.2,1,0
21,136,########,1.349.375,1,0
19,160,13,13,1,1
19,139.1,########,13.5,1,1
21,126.9,13.2,13,1,1
28,184,########,########,1,0
19,125,10.6,11,0,1
18,138.5,14,13.6,1,1
18,133.5,########,########,1,1
18,141.5,1.305.875,1.305.875,1,1
22,130,########,########,1,0
19,131,11,########,1,0
18,145,########,151.625,1,1
20,114.3,0,0,0,0
26,108.3,11.25,11,0,0
18,125.2,14,13.625,1,1
21,131.7,########,########,1,1
18,126.3,########,########,1,0
20,147.6,########,14.25,1,0
18,125.1,13.37,########,1,0
19,123.8,12.4,11,1,1
20,130.8,15,13.75,1,0
18,154.1,########,########,1,1
20,122.6,12,12.625,1,1
22,103.5,13.4,12.2,1,0
18,132.8,0,0,1,0
21,100,11.5,11.4,1,0
18,115.8,12,########,1,0
18,133.8,########,########,1,0
18,118.5,12,########,1,1
19,150.3,0,0,1,0
19,107.8,########,########,1,0
19,127.5,12.94,13.76,1,0
19,120.5,########,########,1,0
19,117.3,12.25,12,1,0
19,120.6,########,10,0,0
21,118.7,########,12.5,1,1
20,130.8,11.8,########,1,1
20,112.6,14.2,########,1,1
41,117.2,11,11.8,1,0
32,130,13.625,126.375,1,0
18,131.8,########,########,1,0
35,97,########,########,1,1
32,130,13.7,0,0,0
37,148,########,14.75,1,0
30,103.4,11.75,########,1,0
23,127.1,########,13,1,0
20,124,14,########,1,1
21,121.4,11.5,11.75,1,0
19,118.1,11.2,13.2,1,0
18,121.3,15.07,15.07,1,1
18,119.5,10,12,1,0
24,115.2,12,########,1,0
22,130.2,13,12.6,1,0
18,130,11,11.25,1,0
18,126.9,########,########,1,0
21,168.5,14.6,14.2,1,0
38,130,########,10,1,0
19,122.8,12.625,125.125,1,1
36,110,11.5,########,1,0
18,127.1,13.25,10.5,1,0
19,108.5,1.260.625,11.9,1,0
21,138.2,13.75,13.2,0,0
19,96,########,########,1,0
18,124.5,########,########,1,1
45,120,12.7,########,1,0
20,132.3,10,11,1,0
18,120.7,########,11.5,1,0
18,132.6,14,########,1,1
25,140,0,0,1,0
19,124.5,########,########,1,0
18,142,0,0,1,1
39,130,########,########,1,0
29,144,########,########,1,0
18,128.5,11.5,########,1,0
23,140,10,0,0,0
21,113.9,12.25,########,1,0
18,137.2,14.5,########,0,0
23,140,########,16.375,1,0
18,152.3,########,########,1,0
32,112.5,13.8,########,1,0
29,101,########,14.8,0,0
20,112.3,11.6,11.75,1,1
28,114,13,0,0,0
27,130,12,13.625,1,0
22,121.5,########,########,1,0
37,120,12.875,12.9,1,0
28,130,11,0,0,0
43,125.7,12.25,10.5,0,0
32,128,0,0,0,0
20,113.2,10.75,11.5,1,1
35,120,13.63,13.63,1,1
21,117.8,13,11.5,1,0
18,121.3,########,########,1,1
18,169.7,16.9,########,1,1
18,117.7,12,12,1,0
22,121.8,12.5,########,1,0
19,128.3,########,########,1,0
18,132.2,13.75,########,1,1
19,134.3,0,0,1,0
18,123.4,########,########,1,1
31,121.7,0,0,0,0
33,130,########,12.5,1,1
19,126.5,1.357.625,1.357.625,1,1
18,159.7,########,########,1,1
23,151.3,########,11.6,1,0
20,138,11.2,12,1,0
18,126.5,1.376.375,1.376.375,1,0
21,140,13.25,12.2,1,0
22,112.3,########,12.2,1,1
20,127.3,########,########,1,0
23,130,########,########,1,0
19,115,########,########,1,0
19,131.5,########,########,1,0
26,125.7,12,11,1,0
18,126.8,########,########,1,0
18,132.4,16,0,1,0
20,150,13.125,13.2,1,0
19,95,0,0,1,0
32,128.2,11.4,11,0,0
31,130,11,########,0,0
25,100,11,10,1,0
21,159.9,########,13,1,0
31,100,11.75,10,0,0
34,116.5,10,13,1,0
18,120,13.5,########,1,1
19,117,0,0,1,0
21,140,12,11,1,0
18,118.1,13,11.8,0,0
20,153.5,########,16,1,0
20,127.9,########,########,1,0
18,118.8,12,########,1,1
19,126.7,12.75,########,1,0
19,170,0,14.75,1,0
30,110,0,10,1,1
19,115,12,########,1,0
19,119,########,13.8,1,0
19,121.8,13.6,13.6,1,1
19,133.4,16,15.875,1,0
20,131.4,11.8,11.5,1,0
25,135,0,14,1,0
19,122.8,0,0,1,0
34,140,########,16.2,1,1
18,125.3,########,########,1,1
18,126.3,1.342.375,1.342.375,1,1
20,100,12.5,########,1,0
20,121.3,########,########,1,1
23,135,12.375,12.6,1,0
28,120,10,0,1,0
18,113.7,12.6,########,1,0
19,129.7,12.6,12.4,1,0
34,132.1,10,12,1,0
35,120.3,0,0,1,0
32,120,11.6,########,1,0
19,123.1,########,13.5,1,0
18,119.4,13.6,########,1,0
35,140,12.5,11.8,0,0
24,116.5,12.25,11.5,1,1
20,113,########,12.625,1,1
18,133.9,13.5,13,1,1
20,115.5,########,########,1,1
18,116.5,0,0,0,0
18,171.2,########,########,1,1
20,119.1,11,11.5,1,1
19,121.1,########,12.5,1,0
20,132.9,11.375,13.8,1,1
19,132.8,########,########,1,0
20,126.7,12.6,11.5,1,0
22,105.8,########,########,1,0
18,117.2,13.5,13.625,1,1
19,140,########,########,1,0
22,120,11.75,10,1,0
20,119.5,14.8,17.6,1,0
34,153.9,0,0,0,0
24,130,10,0,1,0
26,107,0,0,1,0
35,132.8,12.6,12.38,1,0
22,127.5,########,11.8,1,0
26,123.3,10,12,1,0
19,122,########,0,1,0
19,114.8,0,0,0,0
20,140,0,0,1,0
21,111,12.1,########,1,0
19,133.2,########,15,1,1
18,123,########,########,1,0
23,150,########,13.3,1,1
18,132.3,13.4,12.2,1,1
18,126,########,########,1,0
19,119.3,########,########,1,0
21,133.8,########,########,1,0
18,126.5,########,13.875,1,1
24,138.4,########,########,1,1
18,129,12.65,########,1,0
18,118.3,########,12,1,0
20,129.8,14.37,14.65,1,0
19,113.6,12,11.75,1,0
18,128.3,12,########,0,1
19,130,12,11,1,1
19,121.9,12.6,11.2,1,0
18,129.4,########,########,1,0
20,115.3,13.5,14,1,0
18,125.5,1.376.375,1.376.375,1,1
19,117.8,12.4,12.8,1,1
18,118.7,########,12,1,0
18,139,########,########,1,0
21,98.9,12.5,########,1,0
19,137.7,10,0,0,0
21,113.6,1.469.625,########,1,0
18,113.4,11.5,13.75,1,0
18,128.5,########,139.125,1,1
18,142.8,13.7,########,1,0
23,137.7,0,12,0,0
20,103.5,11.2,12,1,0
18,123.2,########,########,1,0
19,126,13,10.4,1,0
27,121.7,12.6,########,1,1
19,142.8,12.8,12,0,1
21,120,11.5,11,1,0
19,119.3,11.4,11.4,1,1
21,121,########,########,1,1
18,139.4,12.8,12.2,1,0
20,113.9,12,15,1,1
18,124.6,13,13.5,1,1
18,123.8,########,11,0,1
18,126.3,14,########,1,0
18,120.4,########,13.5,1,1
19,120.5,13.04,12.5,1,1
23,144.9,########,########,0,0
24,139.9,12.5,########,1,1
19,133.3,0,0,1,0
18,126,########,########,1,0
19,133.5,########,########,1,0
19,127.9,0,0,1,0
20,105.9,10.6,########,1,1
20,124.3,########,########,1,0
26,102.5,11.75,0,1,0
36,97,0,0,0,0
19,134.7,0,0,0,0
27,113.8,0,0,0,0
18,116.9,13,0,1,0
18,124,########,########,1,1
28,117.5,0,0,1,0
21,154.8,0,0,1,0
19,141,13.7,13.7,1,0
26,120,0,0,0,0
20,133.6,########,13.875,1,0
19,122,12.2,12.2,1,0
21,120,10,11,1,0
23,114.2,13,########,1,1
29,95.5,12,14,1,0
20,120,########,########,1,0
18,111.1,12,########,1,0
19,128.6,12,12.4,1,0
23,130,########,########,0,0
21,111.1,0,0,1,0
18,122.7,12,12.5,1,0
18,134.4,0,0,1,1
21,131,14,0,0,0
22,125,0,0,1,0
21,106,12.375,########,1,0
32,128,0,0,0,0
27,120,########,########,1,0
18,134.8,13.35,13.35,1,0
24,112,15,16,1,1
22,116.1,10.5,0,1,0
22,120,0,0,0,0
19,119.7,13.25,########,1,0
19,117.1,0,0,1,0
21,112.4,11.5,10.6,1,0
18,131,1.388.125,1.388.125,1,1
18,130.9,########,12.6,1,0
20,134.9,0,0,1,0
19,127.1,########,########,1,0
19,110.2,11.6,12.5,1,0
18,108.7,11.4,########,1,1
20,138,########,13,1,0
22,147.7,########,########,1,1
31,123,########,########,1,0
19,142.8,########,########,1,1
18,138.3,0,0,1,0
18,125.2,########,12.4,1,1
21,141.8,14.4,13.8,1,0
18,130.6,13.15,1.506.875,1,1
25,130,0,0,0,0
21,100,0,0,1,0
19,119,########,########,1,1
19,124.3,12.2,10.8,1,0
22,122.2,10.5,11,1,0
19,150,10.6,11.6,1,0
58,135.5,0,0,1,0
19,127.3,11.25,12,1,1
23,127,10.5,11.7,1,0
19,126.9,11,########,1,1
18,127.5,########,145.125,1,0
20,122,12.6,########,1,0
18,115.8,0,0,0,0
18,121.6,########,13.6,1,0
18,116.4,11.6,11.8,1,1
24,120,########,########,1,0
18,127.3,11.8,11.4,1,0
19,123.5,11.6,########,1,1
19,125.6,########,########,1,1
18,118.5,########,11.5,1,0
18,129.5,13.5,13.4,1,0
19,134.6,0,0,1,1
22,140,########,11.5,1,0
19,133.2,13.4,13.5,1,0
21,133.5,10.2,12.25,1,1
21,117.9,13,########,1,1
18,128,########,########,1,1
20,113.2,12,10,1,0
18,122,########,11,1,1
19,156.9,########,########,1,0
18,125.1,########,12.875,1,1
26,100,13,14,0,0
19,160,13.5,11,1,0
35,101,12.5,########,1,0
19,121.5,13,########,1,1
18,126.8,11.75,########,1,0
19,132.9,12.5,14.25,1,0
25,134.3,########,########,1,0
18,120.5,14,########,1,0
26,144.1,0,0,0,0
34,100,13.8,########,1,0
18,114.8,0,0,0,0
18,111.9,0,0,0,0
18,125.4,12.25,########,1,1
20,140,11.5,########,1,0
25,140,########,########,1,0
18,127.8,12,########,1,0
19,131.6,12,########,1,0
20,119.4,0,0,1,0
20,129.9,12,########,1,1
20,114,11.6,12.25,1,0
19,113.4,0,0,1,1
20,117.8,12,13,1,0
18,114.3,########,########,1,0
19,129.7,12.5,10,1,0
20,112,0,0,0,0
24,140,10.5,12.5,1,0
20,150,########,12.3,1,0
19,122.4,########,12,1,0
23,150,13,10,1,0
20,135,########,10.4,1,0
21,116.2,########,12.75,1,0
20,120.4,11,0,1,0
21,122.9,13.2,14.25,1,0
18,155,15.5,########,1,1
18,123.4,########,########,1,0
18,124.2,12,11.4,1,0
20,130,11.6,11.5,1,0
18,126.2,########,########,1,1
19,120.5,0,0,1,0
20,123.7,12,12.5,1,0
19,122.5,12,12.6,1,0
33,139.2,12.5,11.5,1,0
21,131.2,########,13,1,0
25,120,14.5,0,0,0
20,116.7,13.2,0,1,1
22,150,########,14.8,1,1
39,117.5,11.25,########,1,0
21,137.6,########,########,1,1
19,124.3,########,13.4,1,1
26,116,########,########,1,1
19,121.4,10.75,11.5,1,1
20,142.8,########,########,0,1
25,96,########,12.2,1,1
24,125,0,0,1,0
20,126.1,13,########,1,0
29,155.8,########,13.5,1,0
20,116,11.5,11,1,0
20,110,10.75,10.5,1,0
24,97.2,11.6,13,1,1
24,100,0,0,1,0
23,140,13.8,########,1,0
20,128,########,146.875,1,0
19,115.3,########,13,1,0
28,150,12,########,1,0
20,160,########,12.6,1,1
18,133.1,14,########,1,0
20,119,12,0,1,0
33,156,14.2,########,1,0
35,163.7,13.34,10.84,1,0
27,130,########,########,1,0
19,123.1,11,12,0,0
31,160,10.5,10.5,1,1
19,136.1,0,0,1,0
22,132.7,14,13,1,0
39,128.2,0,0,1,0
22,126.7,0,0,0,0
47,150,10,12.5,1,0
19,156.3,0,0,1,1
19,116.1,13.5,########,1,0
19,123.8,0,0,1,0
21,153,########,########,1,1
39,140,0,0,0,0
19,131.9,########,########,1,0
20,141.4,0,0,1,1
24,140,0,0,0,0
27,115,10,0,1,0
29,168,15.2,15.2,1,0
20,101.3,12.8,0,1,0
21,122.6,########,11,1,0
18,141.7,0,0,1,0
19,132.3,########,########,1,0
19,111.7,12.5,12.6,0,0
28,98.7,10,12.4,1,1
21,140,11.5,13.25,0,0
23,140,########,########,0,0
39,100.7,13,13,1,0
18,133.8,########,########,1,0
59,100,########,11.75,1,0
30,180,14.5,16.2,1,0
18,130.8,14.4,13.6,1,0
41,140,12.25,12.5,1,0
27,106.2,0,0,1,0
18,125.6,########,12,1,1
20,117.5,12,########,0,0
32,122.5,0,0,0,0
19,132.9,########,10.8,1,0
41,103,0,0,1,0
38,107,10,0,1,0
35,100,0,0,1,0
27,100,12.25,12,1,0
19,131.3,12,12.5,1,0
18,122.2,12.6,11.8,0,0
39,118.4,0,0,0,0
37,100,0,0,0,0
37,110,0,0,0,0
35,100,126.875,12,1,1
49,106.2,10.4,########,1,0
52,110,########,########,1,0
18,122.3,########,13,1,0
30,112.5,########,########,1,1
21,98.1,########,1.423.125,1,0
20,140.2,0,0,1,0
18,143.6,0,0,1,0
19,134.6,0,0,1,0
18,126.8,1.324.875,1.324.875,1,0
20,100,########,12.75,1,0
21,130,13.6,14.25,1,0
22,113.6,14,12.4,1,1
20,140,12,11,0,0
20,106,########,14,1,0
19,126.6,13.625,########,1,1
18,130.7,14.85,########,1,1
21,105.9,10.75,11.4,1,0
19,137,0,########,1,0
37,100,0,0,1,0
45,114.4,14,########,1,0
38,120,0,0,0,0
55,119,0,0,0,0
28,110,13,11.75,0,0
46,120,12.375,12.4,1,0
22,119.8,0,0,1,0
46,135.6,11.4,13.75,1,0
28,120.7,11.25,13,1,0
18,136.3,13,12,0,0
18,164.3,0,0,1,1
21,149.2,13.5,########,1,1
18,122.5,11,11,1,0
34,100,0,11,1,0
21,125,12,11.2,1,1
18,131,13,13,1,1
20,122,0,0,1,0
18,131.3,12,12.25,1,0
21,117,########,10.8,1,0
19,118,10.5,12,1,0
22,126,########,########,1,0
23,120,11,0,1,0
19,155.6,0,0,1,0
18,122.8,11.5,########,1,0
19,127.3,0,0,0,1
19,118.4,10.5,11.75,1,0
19,128.1,12.5,11,1,0
22,99,########,12.5,1,0
18,161.2,########,########,1,1
18,140.9,12,11.8,1,0
19,111.1,11.25,########,1,0
18,149.9,0,0,1,0
21,111.3,########,14.25,1,0
18,121.5,11,########,1,0
19,120,########,13.6,1,0
27,120,11.5,0,0,0
20,130,########,11.625,1,0
20,98.9,13,13,1,0
18,136.3,128.875,128.875,1,0
18,125.2,########,13.6,1,0
18,130,########,########,1,0
18,141.5,########,12.5,1,0
18,123.9,13,12.4,1,0
18,114.5,########,1.228.125,1,0
37,100,0,0,0,0
36,110.5,########,11.5,1,1
26,101,########,11,1,0
19,121,13.75,14.5,1,0
24,95,11.4,11.8,1,0
19,126.9,########,13,1,1
20,116.3,########,11.8,1,1
19,120,14.125,14.5,1,0
21,123.6,########,13,1,0
50,150,10.25,11.25,0,0
47,120,########,11.75,1,0
24,111.3,11.5,########,1,0
48,150,10,0,0,0
18,123.2,########,########,1,1
32,130,12.5,11,1,0
20,137.9,12,12.75,0,0
24,100,0,0,1,0
53,120,12.25,11.75,1,0
42,131,0,0,0,0
52,133.8,13.6,14.2,1,0
54,100,########,########,1,0
49,150,12.2,11.8,1,0
18,126.4,########,########,1,1
37,154,12,13,1,0
21,114.9,########,11.65,1,1
26,110,0,0,1,0
20,149.8,########,########,1,0
19,117.9,121.375,########,1,1
18,165.8,########,########,1,0
18,127.6,########,########,1,0
20,123.8,12,11,1,0
20,126.1,11.4,11,1,0
21,119.7,0,0,1,0
22,121.6,########,14.5,1,0
18,100,136.375,143.875,1,1
18,127.6,12.9,########,1,0
19,132.5,14.36,14.36,1,1
19,124.3,########,########,1,0
18,131,14.7,14.7,1,0
27,120,15.2,14,1,0
20,113.3,13,150.625,1,1
20,121.9,13.5,0,1,0
20,118.3,########,12.6,1,0
19,118.8,13.4,13,1,0
20,129,11.75,10.5,1,0
20,143.3,0,0,1,1
20,152.5,0,0,1,0
27,155.7,########,########,1,0
18,153.9,########,########,1,0
18,137.8,15.145,157.425,1,0
18,143.3,########,15.075,1,1
20,123.2,########,11.75,1,0
19,138.1,14,15,1,0
20,140.5,########,########,1,1
18,130,1.376.125,1.376.125,1,0
22,104.8,11.6,10,0,0
22,132.5,12.75,13,1,1
25,127.7,12.5,11,1,0
19,136.5,########,14,1,0
21,130,########,12,0,0
27,190,########,########,1,0
18,128.5,########,########,1,0
18,126.6,10.4,0,0,0
19,131.6,0,0,1,0
35,119,10.5,12.6,1,1
23,127.6,14.25,13.4,1,0
28,100,########,0,1,0
19,124.5,########,14,1,0
19,109.3,12.25,########,1,0
20,117.7,12,11.6,1,0
21,124.7,11,12.75,1,0
18,124.5,########,13,1,0
22,140.8,########,15,1,0
21,111.9,0,########,1,0
38,140,########,0,0,0
20,121.2,0,0,1,0
19,123.8,0,0,1,0
24,134,0,0,1,0
19,130.8,0,0,0,0
19,130.2,13.7,########,1,1
19,123.3,11.8,12.4,1,0
31,147.6,0,0,1,0
19,113.4,########,########,1,1
22,133.7,11.4,########,1,0
25,128.2,0,0,1,0
18,161,########,0,1,0
30,130,0,0,1,0
18,156.3,1.563.375,1.563.375,1,1
18,129.3,########,14.5,1,0
18,129.3,0,0,1,0
18,136.3,12.5,11.5,1,0
25,140,########,13,1,1
18,135.9,14,11,1,0
18,139.7,0,0,1,0
19,117,10.75,12.25,1,0
25,105,12.95,13.125,1,0
19,130.5,12.45,12.45,1,0
31,130,12.25,12,1,0
20,131.5,1.338.125,1.338.125,1,1
33,100,12.16,11.34,0,0
24,140,12.5,11.5,0,0
18,130.2,12.75,########,1,1
19,133.5,133.425,133.425,1,0
20,133.2,14.175,1.303.125,1,1
33,130,10,10,1,1
24,129,0,14.5,1,0
24,100,0,0,1,0
18,116.5,12,########,1,0
18,124.2,########,11.4,1,1
22,138.8,########,########,1,0
18,126.4,########,12.4,1,1
21,151.9,12,########,1,0
38,120,########,12,1,0
29,131.9,########,########,1,1
20,130,12,10.75,1,1
18,131.7,0,0,0,0
37,132.5,12.25,########,1,0
20,116.5,11.6,12.8,1,0
20,133.9,13,12,0,0
40,145.4,########,12.5,1,0
44,172,########,11,1,0
21,111,11,########,0,0
21,120,########,13.125,1,0
18,129.8,1.305.375,1.305.375,1,0
18,118.1,########,13.75,1,0
27,130,########,########,1,0
38,126.3,0,0,0,0
18,137.8,13.6,########,1,0
19,116.1,12.2,12,1,0
18,115.4,########,########,1,0
19,110,########,10,0,0
44,97.4,14,0,0,0
26,130,12.5,10,1,0
24,156,########,11.5,0,0
27,126.1,0,0,0,0
27,120,0,0,0,0
25,105.2,########,12.4,1,0
21,120,########,12.25,1,0
19,137.8,0,0,1,1
20,134.2,11.8,12,1,0
20,150,0,10.5,1,0
20,116,0,0,0,0
18,143.4,14.2,14.2,0,1
19,143.6,12.7,########,1,0
22,150,########,0,0,0
19,118,########,15,1,0
18,109.3,########,12.6,1,1
20,119.3,########,########,1,0
18,146.3,0,0,1,1
36,161.5,########,16.5,1,0
19,140,10.5,11.25,1,0
21,142.2,########,12.6,1,1
26,129.2,0,0,1,0
29,100,########,14,0,0
26,170,15.125,########,0,0
27,140,0,0,1,0
32,115.2,12,########,1,0
23,121.4,14.25,12,1,1
24,134.8,10.5,10,1,0
19,136.9,13.5,########,1,1
25,140,########,12,1,0
19,112.2,10.8,10,1,0
20,148.7,0,0,0,0
33,133,12.8,########,1,0
35,150,10.8,12,1,0
23,98,11.4,11,1,0
19,122.4,########,14.5,1,0
21,139,12.8,12.25,1,0
21,112,13.5,########,1,1
27,143.8,15.57,15.57,1,0
19,116.1,11,12,1,0
28,138,########,########,1,0
25,110,11,11.5,1,0
42,103.5,0,0,1,0
27,140,13.5,13.75,1,0
23,108.7,11.25,0,1,0
18,115.9,########,########,1,1
26,127.3,########,########,1,0
18,138.7,0,0,1,0
29,135.8,11,13.5,1,0
22,134.6,0,0,1,0
21,118.4,13.125,########,1,0
19,132.8,########,########,1,1
18,155.5,########,########,1,1
18,132,15,########,1,1
40,110,12.8,########,0,0
20,127.3,########,0,0,0
18,126,12.288,12.288,1,0
31,130,########,########,1,0
18,118.8,11.5,12.8,1,1
22,127.6,########,########,1,0
38,112.1,0,0,0,0
33,130,0,0,1,0
19,111.1,11.8,11.5,1,1
18,121.4,0,0,1,0
18,126.8,12.2,12,0,1
27,120.6,########,13,1,0
26,126.5,########,########,1,0
19,120.2,########,########,1,1
44,120,12.1,12.6,1,0
19,137.5,12,11.5,1,0
20,127.9,0,0,1,0
24,140,########,########,1,0
31,131.8,########,12,1,0
25,129,13.5,12.5,1,0
19,115.8,0,0,0,0
18,126.4,########,14.75,1,0
19,130,13,########,0,0
19,114.8,12.65,11.1,1,1
19,138.6,11,0,1,0
24,112.9,########,10.5,1,0
20,111.6,14.5,########,1,0
18,152,########,########,1,0
18,132.6,########,########,1,1
21,118.4,########,10.5,1,0
28,120,0,0,0,0
18,122.1,########,12,1,1
18,142.8,13,11.5,1,0
18,124.8,11.5,14,1,1
18,126.3,11.8,11.6,1,1
19,119,########,########,0,1
19,124.9,138.875,########,1,1
20,118,11.4,11.5,1,1
34,100,########,########,1,0
39,109,12.16,12.16,1,0
19,130.8,########,########,1,0
24,110,########,15.5,1,0
18,151,0,0,1,0
19,131,10.5,0,1,0
18,155.2,11.8,11,1,1
20,121,13.2,11.4,1,0
19,119.7,13.075,########,1,0
19,131,11.6,13,1,0
19,116.9,########,12.25,1,0
41,130,10.75,10,1,0
19,137.8,########,########,1,0
19,122.1,12.5,11,1,0
23,120,0,0,0,0
18,133,########,14.8,1,0
19,115.2,12.6,11.8,1,0
20,160,14,########,1,0
35,106.3,11.5,10.5,0,0
34,103,0,0,0,0
19,136,########,12.875,0,1
22,146.5,11.5,12.4,0,0
20,131.4,########,########,1,0
27,130,12.5,12.5,1,0
30,137,0,0,1,0
34,125.9,0,11,1,0
20,111.9,10.5,0,0,0
18,131.2,########,########,1,0
26,131.2,0,0,1,1
26,140,12.4,12.4,1,0
26,121.5,10.5,0,0,0
31,153.5,0,0,0,0
20,142.2,########,########,1,1
19,131.1,########,########,1,0
23,130.6,0,0,0,0
20,115,13,0,1,1
20,125,15.66,########,1,0
29,97.5,0,0,1,0
20,134.4,########,12.75,1,1
24,118.8,13.3,13.3,1,0
37,110.5,0,0,1,0
18,123.3,0,0,1,0
18,139.6,0,0,0,1
18,138.8,########,########,1,0
41,160,########,########,1,0
35,140,12,########,1,0
19,118.2,0,0,1,0
18,150.6,0,0,1,0
48,115.2,11.75,11.725,1,0
19,126,########,########,1,0
30,160,########,11,0,0
51,160,0,0,0,0
18,184.4,15,########,1,0
